latitude,longitude,altitude,accuracy,time
48.81103697,2.38364473,187,30,1424419890675
48.81134073,2.383779648,145,10,1424419910000
48.81134073,2.383779648,145,10,1424419910000
48.81152794,2.384090199,156,10,1424419926000
48.81152794,2.384090199,156,10,1424419926000
48.8118159,2.384794378,150,10,1424419941000
48.811996,2.38510685,144,10,1424419956000
48.81220092,2.385407212,140,30,1424419980000
48.81220092,2.385407212,140,30,1424419980000
48.81238019,2.385715367,139,50,1424419989000
48.81238019,2.385715367,139,50,1424419989000
48.81270739,2.386067936,128,10,1424420017000
48.81270739,2.386067936,128,10,1424420017000
48.81249538,2.386361074,125,10,1424420022000
48.81259606,2.387513853,104,10,1424420077000
48.81258676,2.387933332,102,10,1424420099000
48.81257243,2.388766148,92,30,1424420139000
48.81238776,2.389088857,91,30,1424420149000
48.81238776,2.389088857,91,30,1424420149000
48.81220539,2.389407855,90,30,1424420162000
48.81200189,2.389701353,89,30,1424420177000
48.81177801,2.389946461,88,10,1424420197000
48.81177801,2.389946461,88,10,1424420197000
48.81168713,2.390337422,91,10,1424420224000
48.81168713,2.390337422,91,10,1424420224000
48.81197609,2.391055692,95,10,1424420264000
48.81197609,2.391055692,95,10,1424420264000
48.81250393,2.392004085,104,30,1424420312000
48.81250393,2.392004085,104,30,1424420312000
48.81263921,2.392365568,103,10,1424420329000
48.81263921,2.392365568,103,10,1424420329000
48.81279566,2.392705036,100,30,1424420347000
48.81312597,2.393282485,99,10,1424420376000
48.81312597,2.393282485,99,10,1424420376000
48.813385,2.393429854,97,30,1424420394000
48.81366862,2.393482252,97,30,1424420508000
48.81366862,2.393482252,97,30,1424420508000
